,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,max_total_run_x,crr,rrr,results,total_run_x
574,Sunrisers Hyderabad,Delhi Capitals,Hyderabad,138,118,2,,21.0,7.02,0,145.0
575,Sunrisers Hyderabad,Delhi Capitals,Hyderabad,137,117,1,,16.0,7.03,0,145.0
576,Sunrisers Hyderabad,Delhi Capitals,Hyderabad,133,116,0,,18.0,6.88,0,145.0
577,Mumbai Indians,Gujarat Titans,Ahmedabad,206,119,3,,12.0,10.39,0,208.0
578,Mumbai Indians,Gujarat Titans,Ahmedabad,206,119,2,,12.0,10.39,0,208.0
579,Mumbai Indians,Gujarat Titans,Ahmedabad,205,118,1,,9.0,10.42,0,208.0
580,Mumbai Indians,Gujarat Titans,Ahmedabad,204,117,0,,8.0,10.46,0,208.0
581,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,186,119,3,,90.0,9.38,0,201.0
582,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,185,118,2,,48.0,9.41,0,201.0
583,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,184,117,1,,34.0,9.44,0,201.0
584,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,183,116,0,,27.0,9.47,0,201.0
585,Chennai Super Kings,Rajasthan Royals,Jaipur,196,119,3,,42.0,9.88,0,203.0
586,Chennai Super Kings,Rajasthan Royals,Jaipur,195,118,2,,24.0,9.92,0,203.0
587,Chennai Super Kings,Rajasthan Royals,Jaipur,194,117,1,,18.0,9.95,0,203.0
588,Chennai Super Kings,Rajasthan Royals,Jaipur,194,116,0,,13.5,10.03,0,203.0
589,Punjab Kings,Lucknow Super Giants,Chandigarh,258,125,9,,-0.0,12.38,0,258.0
590,Punjab Kings,Lucknow Super Giants,Chandigarh,255,119,3,,18.0,12.86,0,258.0
591,Punjab Kings,Lucknow Super Giants,Chandigarh,251,118,2,,21.0,12.76,0,258.0
592,Punjab Kings,Lucknow Super Giants,Chandigarh,251,117,1,,14.0,12.87,0,258.0
593,Punjab Kings,Lucknow Super Giants,Chandigarh,251,116,0,,10.5,12.98,0,258.0
594,Gujarat Titans,Kolkata Knight Riders,Kolkata,176,119,3,,24.0,8.87,1,180.0
595,Gujarat Titans,Kolkata Knight Riders,Kolkata,172,118,2,,24.0,8.75,1,180.0
596,Gujarat Titans,Kolkata Knight Riders,Kolkata,172,117,1,,16.0,8.82,1,180.0
597,Gujarat Titans,Kolkata Knight Riders,Kolkata,168,116,0,,18.0,8.69,1,180.0
598,Delhi Capitals,Sunrisers Hyderabad,Delhi,198,125,9,,-0.0,9.5,0,198.0
599,Delhi Capitals,Sunrisers Hyderabad,Delhi,198,124,8,,-0.0,9.58,0,198.0
600,Delhi Capitals,Sunrisers Hyderabad,Delhi,190,119,3,,48.0,9.58,0,198.0
601,Delhi Capitals,Sunrisers Hyderabad,Delhi,186,118,2,,36.0,9.46,0,198.0
602,Delhi Capitals,Sunrisers Hyderabad,Delhi,185,117,1,,26.0,9.49,0,198.0
603,Delhi Capitals,Sunrisers Hyderabad,Delhi,184,116,0,,21.0,9.52,0,198.0
604,Punjab Kings,Chennai Super Kings,Chennai,188,119,3,,78.0,9.48,1,201.0
605,Punjab Kings,Chennai Super Kings,Chennai,188,118,2,,39.0,9.56,1,201.0
606,Punjab Kings,Chennai Super Kings,Chennai,182,117,1,,38.0,9.33,1,201.0
607,Punjab Kings,Chennai Super Kings,Chennai,182,116,0,,28.5,9.41,1,201.0
608,Mumbai Indians,Rajasthan Royals,Mumbai,201,119,3,,72.0,10.13,1,213.0
609,Mumbai Indians,Rajasthan Royals,Mumbai,200,119,2,,78.0,10.08,1,213.0
610,Mumbai Indians,Rajasthan Royals,Mumbai,200,118,1,,39.0,10.17,1,213.0
611,Mumbai Indians,Rajasthan Royals,Mumbai,200,117,0,,26.0,10.26,1,213.0
